#@string,ra,dec,float,float,float,float,float,float,string,string,float,float,float,string
Name,RA,DEC,K,TYPE,S,err_S,Dist,M(K),P1/4,Spectrum,M_BH,SoI_pc,SoI_arcsec,Done
128,01:33:34.90,30:37:05.6,8.87,-2,0.4,0.5,38,-24.06,<2.3e20,n,2.10E+08,21,0.11,FALSE
129,01:33:34.96,30:55:06.1,7.85,-2,6.7,0.5,21,-23.75,3.50E+20,e,1.60E+08,18,0.18,FALSE
130,01:33:35.10,30:49:00.0,8.28,-5,50,2,32,-24.25,6.20E+21,x,2.40E+08,23,0.15,FALSE
131,01:33:35.27,30:33:11.6,8.11,-5,25,1,35,-24.6,3.70E+21,x,3.30E+08,28,0.16,FALSE
132,01:33:35.62,30:38:36.7,8.11,-2,-0.2,0.5,52,-25.47,<2.3e20,x,6.80E+08,43,0.17,FALSE
133,01:33:35.94,30:36:28.8,8.9,-2,0.7,0.5,34,-23.75,<2.2e20,x,1.60E+08,18,0.11,FALSE
134,01:33:36.19,30:47:55.1,8.95,-3,0.3,0.5,49,-24.49,<3.4e20,x,3.00E+08,26,0.11,FALSE
135,01:33:36.30,30:56:15.9,8.43,-5,63,3,56,-25.3,2.30E+22,x,5.90E+08,39,0.14,FALSE
136,01:33:36.70,30:27:08.0,8.07,-4,0.8,0.5,52,-25.53,<5.6e20,x,7.20E+08,44,0.17,FALSE
137,01:33:36.77,30:43:23.1,7.94,-5,7.8,0.5,39,-25,1.40E+21,?,4.60E+08,34,0.18,FALSE
138,01:33:36.79,30:49:17.5,7.43,-5,0.4,0.5,11,-22.71,<1.8e19,a,6.50E+07,11,0.2,FALSE
139,01:33:36.98,30:37:12.0,6.26,-5,2,0.5,11,-24.04,3.20E+19,a,2.00E+08,21,0.39,FALSE
140,01:33:37.24,30:34:13.9,6.74,-3,0.3,0.5,11,-23.46,<1.7e19,a,1.20E+08,16,0.29,FALSE
141,01:33:37.60,30:28:04.6,8.9,-4,32,2,63,-25.1,1.50E+22,n,5.00E+08,35,0.12,FALSE
142,01:33:37.81,30:50:32.3,7.66,-2,0.2,0.5,11,-22.61,<1.7e19,a,6.00E+07,10,0.19,FALSE
143,01:33:38.00,30:38:02.2,7.97,-2,4.4,0.4,25,-24.04,3.40E+20,e,2.00E+08,21,0.17,FALSE
144,01:33:38.04,30:33:05.4,7.36,-1,1.5,0.5,12,-23.05,2.60E+19,e,8.70E+07,13,0.22,FALSE
145,01:33:38.08,30:33:17.6,8.5,-2,31,1,36,-24.27,4.80E+21,e,2.50E+08,23,0.13,FALSE
146,01:33:38.14,30:42:22.9,8.66,-1.7,13,1,51,-24.87,4.10E+21,x,4.10E+08,32,0.13,FALSE
147,01:33:38.19,30:43:23.9,7.17,-5,7.9,60,46,-26.13,2.00E+23,x,1.20E+09,59,0.27,FALSE
148,01:33:38.63,30:46:10.7,8.92,-2,0.3,0.5,39,-24.02,<2.1e20,x,2.00E+08,21,0.11,FALSE
149,01:33:39.46,30:55:59.7,6.68,-5,0.6,0.5,20,-24.83,<7.2e19,x,4.00E+08,31,0.32,FALSE
150,01:33:39.46,30:56:18.0,6.99,-2,6.9,0.4,23,-24.8,4.30E+20,x,3.90E+08,31,0.27,FALSE
151,01:33:39.49,30:48:48.2,8.09,-5,1.3,0.5,23,-23.71,8.20E+19,x,1.50E+08,18,0.16,FALSE
152,01:33:39.69,30:31:09.2,7.9,-5,-0.1,0.5,21,-23.75,<4.4e19,x,1.60E+08,18,0.18,FALSE
153,01:33:39.71,30:32:29.2,8,-5,0.3,0.5,29,-24.32,<1.2e20,x,2.60E+08,24,0.17,FALSE
154,01:33:39.94,30:38:26.2,8.57,-1,5.6,0.5,21,-23.04,3.00E+20,x,8.60E+07,13,0.12,FALSE
155,01:33:40.08,30:21:37.2,8.15,-1,10,1,20,-23.36,4.90E+20,x,1.10E+08,15,0.15,FALSE
156,01:33:40.38,30:43:58.0,8.83,-2,-0.1,0.5,20,-22.65,<3.7e19,x,6.20E+07,10,0.11,FALSE
157,01:33:40.56,30:49:04.7,8.84,-2,0.2,0.5,24,-23.1,<7.9e19,x,9.10E+07,13,0.11,FALSE
158,01:33:41.14,30:25:50.4,7.5,-5,42,2,27,-24.66,3.60E+21,x,3.40E+08,28,0.22,FALSE
159,01:33:41.20,30:29:53.8,7.68,-2,1.12,4,28,-24.57,1.10E+22,x,3.20E+08,27,0.2,FALSE
160,01:33:41.32,30:52:56.8,7.87,-3,53,2,41,-25.19,1.00E+22,x,5.40E+08,37,0.19,FALSE
161,01:33:41.54,30:42:44.9,8.87,-2,1.1,100,47,-24.5,3.00E+23,x,3.00E+08,26,0.12,FALSE
162,01:33:41.56,30:30:24.1,8.85,-5,0.9,0.5,36,-23.95,<2.8e20,x,1.90E+08,20,0.11,FALSE
163,01:33:41.60,30:28:09.2,8.46,-3,4.8,200,70,-25.76,2.80E+24,n,,49,0.15,TRUE
164,01:33:41.60,30:41:43.4,8.49,-5,1.2,0.5,44,-24.73,2.80E+20,x,3.60E+08,29,0.14,FALSE
165,01:33:41.60,30:48:08.5,8.34,-1,-0.8,0.5,25,-23.6,<7.2e18,x,1.40E+08,17,0.14,FALSE
166,01:33:41.94,30:49:20.1,8.54,-5,4.8,10,45,-24.73,1.20E+23,x,3.60E+08,29,0.14,FALSE
167,01:33:42.00,30:26:53.5,8.69,-1,1.3,0.5,25,-23.32,9.90E+19,x,1.10E+08,15,0.12,FALSE
